Name of Department,Module ID,Name of Module,Name of Type,Activity ID,Name,Day,Start Time,End Time,Whole-Class/Subgroup,Size,Real Size,Duration,Weeks,Number of weeks,Room,Building,Campus
Deanery of Biomedical Sciences,MSBM08002_SS1_SEM1,Medical Sciences 1.,*Workshop,#SPLUS03A0D8,Medical Sciences 1 - Workshop/A,Tue,10:00,13:00,,20,18,6,"Sem1 wk1-Sem1 wk8, Sem1 wk10-Sem1 wk11",10,OC_Teaching Room 05,Old College,*Central
Deanery of Biomedical Sciences,MSBM08002_SS1_SEM1,Medical Sciences 1.,*Workshop,#SPLUS03A0DA,Medical Sciences 1 - Workshop/B,Tue,10:00,13:00,,20,16,6,"Sem1 wk1-Sem1 wk8, Sem1 wk10-Sem1 wk11",10,7-8CS_1.03,7-8 Chambers Street,*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0E8 002,Medical Sciences 4 - Tutorial/01,Wed,11:00,13:00,,15,14,4,Sem1 wk11,1,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0E8 001,Medical Sciences 4 - Tutorial/01,Wed,9:00,11:00,,15,14,4,Sem1 wk2-Sem1 wk10,9,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EA 002,Medical Sciences 4 - Tutorial/02,Wed,11:00,13:00,,15,13,4,Sem1 wk11,1,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EA 001,Medical Sciences 4 - Tutorial/02,Wed,9:00,11:00,,15,13,4,Sem1 wk2-Sem1 wk10,9,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EC 002,Medical Sciences 4 - Tutorial/03,Wed,11:00,13:00,,15,14,4,Sem1 wk11,1,MST_Teaching Room 01 (G.204) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,MSBM10011_SS1_YR,Medical Sciences 4,*Tutorial,#SPLUS03A0EC 001,Medical Sciences 4 - Tutorial/03,Wed,9:00,11:00,,15,14,4,Sem1 wk2-Sem1 wk10,9,MST_Teaching Room 01 (G.204) - Doorway 3,"Medical School, Teviot",*Central
"School of History, Classics and Archaeology",HIST10507_SS1_YR,Britons at War: The Construction of Identities in the Two World Wars,*Seminar,#SPLUS9D976F 001,"Britons at War <09-17, 19>",Mon,16:00,18:00,,15,14,4,"Sem1 wk1-Sem1 wk9, Sem1 wk11",10,MST_G.12 Seminar Room - Doorway 4,"Medical School, Teviot",*Central
"School of History, Classics and Archaeology",HIST10507_SS1_YR,Britons at War: The Construction of Identities in the Two World Wars,*Seminar,#SPLUS9D976F 002,Britons at War <18>,Mon,16:00,18:00,,15,14,4,Sem1 wk10,1,MST_G.12 Seminar Room - Doorway 4,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10011_SS1_SEM1,Neural circuits for learning and memory,*Tutorial,#SPLUS03A18B,Neural Circuits for Learning and Memory - Tutorial/01,Tue,9:30,12:30,,12,0,6,Sem1 wk3,1,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10011_SS1_SEM1,Neural circuits for learning and memory,*Tutorial,#SPLUS03A18D,Neural Circuits for Learning and Memory - Tutorial/02,Mon,9:30,12:30,,12,0,6,Sem1 wk9,1,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10008_SS1_SEM1,Neurotransmitters In Action,Oral Presentation,#SPLUS03A1B9,Neurotransmitters In Action - Presentations/01,Thu,14:30,17:00,,12,6,5,Sem1 wk10,1,MST_Teaching Room 04 (G.202B) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10008_SS1_SEM1,Neurotransmitters In Action,Oral Presentation,#SPLUS03A1BB,Neurotransmitters In Action - Presentations/02,Fri,14:30,17:00,,12,6,5,Sem1 wk10,1,MST_Teaching Room 07 (1.434) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME08006_SV1_SEM1,Our Changing World,*Seminar,#SPLUS03A1D3,Our Changing World - Seminar/01,Wed,13:00,15:00,,12,10,4,Sem1 wk4-Sem1 wk10,7,MST_Teaching Room 04 (G.202B) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME08006_SV1_SEM1,Our Changing World,*Seminar,#SPLUS03A1D5,Our Changing World - Seminar/02,Wed,15:00,17:00,,12,12,4,Sem1 wk4-Sem1 wk10,7,MST_Teaching Room 04 (G.202B) - Doorway 3,"Medical School, Teviot",*Central
School of Health in Social Science,CNST11040_SS1_SEM1,"The Counselling Relationship: Theory, Practice and Process (MCouns)",*Tutorial,#SPLUS22702D 001,The Counselling Relationship - PPG/09,Thu,16:30,18:00,,8,0,3,"Sem1 wk2-Sem1 wk8, Sem1 wk10-Sem1 wk11",9,PL_G1,Patersons Land,*Holyrood
Deanery of Biomedical Sciences,BIME08006_SV1_SEM1,Our Changing World,*Seminar,#SPLUS03A1D9,Our Changing World - Seminar/04,Thu,12:00,14:00,,12,11,4,Sem1 wk4-Sem1 wk10,7,MST_Teaching Room 04 (G.202B) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME08006_SV1_SEM1,Our Changing World,*Seminar,#SPLUS03A1DB,Our Changing World - Seminar/05,Thu,16:00,18:00,,12,11,4,Sem1 wk4-Sem1 wk10,7,MST_Teaching Room 12 (01M.469) - Doorway 3,"Medical School, Teviot",*Central
School of Health in Social Science,CNST11040_SS1_SEM1,"The Counselling Relationship: Theory, Practice and Process (MCouns)",*Tutorial,#SPLUS22702D 002,The Counselling Relationship - PPG/09,Thu,16:30,18:00,,8,0,3,Sem1 wk9,1,SLL_3.24,St Leonards Land,*Holyrood
Deanery of Biomedical Sciences,BIME08006_SV1_SEM1,Our Changing World,*Seminar,#SPLUS03A1DF,Our Changing World - Seminar/07,Fri,11:00,13:00,,12,10,4,Sem1 wk4-Sem1 wk10,7,24BP_1.03,24 Buccleuch Place,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME08006_SV1_SEM1,Our Changing World,*Seminar,#SPLUS03A1E5,Our Changing World - Seminar/10,Fri,16:00,18:00,,12,10,4,Sem1 wk4-Sem1 wk10,7,CMB_Meeting Room 2,Chrystal MacMillan Building,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Practical,#SPLUS03A1EB,Pharmacology 3 - Practicals Session/A,Mon,13:30,17:00,,42,32,7,"Sem1 wk2, Sem1 wk6",2,1GS_1 George Square Basement Labs,1 George Square (Neuroscience),*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Practical,#SPLUS03A1ED,Pharmacology 3 - Practicals Session/B,Mon,13:30,17:00,,42,37,7,"Sem1 wk3, Sem1 wk7",2,1GS_1 George Square Basement Labs,1 George Square (Neuroscience),*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Practical,#SPLUS03A1EF,Pharmacology 3 - Practicals Session/C,Mon,13:30,17:00,,42,36,7,"Sem1 wk4, Sem1 wk8",2,1GS_1 George Square Basement Labs,1 George Square (Neuroscience),*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A1FC,Pharmacology 3 - Problem Solving Session/A,Thu,14:00,15:00,,42,34,2,"Sem1 wk2-Sem1 wk3, Sem1 wk5-Sem1 wk6",4,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A1FE,Pharmacology 3 - Problem Solving Session/B,Thu,15:00,16:00,,42,36,2,"Sem1 wk2-Sem1 wk3, Sem1 wk5-Sem1 wk6",4,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A200,Pharmacology 3 - Problem Solving Session/C,Thu,16:00,17:00,,42,35,2,"Sem1 wk2-Sem1 wk3, Sem1 wk5-Sem1 wk6",4,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A20D 001,Pharmacology 3 - Tutorial/A,Thu,16:00,17:00,,42,34,2,Sem1 wk1,1,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A20D 002,Pharmacology 3 - Tutorial/A,Mon,14:00,15:00,,42,34,2,Sem1 wk7,1,50GS_G.05,50 George Square,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A20F,Pharmacology 3 - Tutorial/B,Mon,14:00,15:00,,42,37,2,"Sem1 wk2, Sem1 wk6",2,50GS_G.05,50 George Square,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09003_SV1_SEM1,Pharmacology 3,*Tutorial,#SPLUS03A211,Pharmacology 3 - Tutorial/C,Mon,15:00,16:00,,42,34,2,"Sem1 wk2, Sem1 wk6",2,50GS_G.05,50 George Square,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Practical,#SPLUS03A254,Physiology 3 - Practical (Human EMG)/A,Fri,14:00,17:00,,30,28,6,Sem1 wk3,1,1GS_1 George Square Basement Labs,1 George Square (Neuroscience),*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Practical,#SPLUS03A256,Physiology 3 - Practical (Human EMG)/B,Fri,14:00,17:00,,30,26,6,Sem1 wk4,1,1GS_1 George Square Basement Labs,1 George Square (Neuroscience),*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Practical,#SPLUS03A258,Physiology 3 - Practical (Human EMG)/C,Fri,14:00,17:00,,30,28,6,Sem1 wk5,1,1GS_1 George Square Basement Labs,1 George Square (Neuroscience),*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Practical,#SPLUS03A25A,Physiology 3 - Practical (ION Channel)/01,Fri,14:00,17:00,,42,41,6,Sem1 wk5,1,ROB - Greenfield Main Lab (GFS1),Robson Building,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Practical,#SPLUS03A25C,Physiology 3 - Practical (ION Channel)/02,Fri,14:00,17:00,,42,41,6,Sem1 wk3,1,ROB_Hugh Robson Building Computer Lab - 65 cap,Robson Building,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A27C,Physiology 3 - Essay Feedback/01,Fri,16:00,17:00,,10,10,2,Sem1 wk9,1,MST_Teaching Room 14 (01M.474) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial - Online Live,#SPLUS03A27E,Physiology 3 - Essay Feedback/02,Fri,14:00,15:00,,10,9,2,Sem1 wk8,1,0,0,0
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A280,Physiology 3 - Essay Feedback/03,Tue,16:00,17:00,,10,7,2,Sem1 wk9,1,MST_Teaching Room 14 (01M.474) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A284,Physiology 3 - Essay Feedback/05,Fri,16:00,17:00,,10,1,2,Sem1 wk8,1,40GS_12.18,40 George Square,*George Square/Buccleuch
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A286,Physiology 3 - Essay Feedback/06,Fri,16:00,17:00,,10,8,2,Sem1 wk9,1,MST_Teaching Room 02 (G.203) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A288,Physiology 3 - Essay Feedback/07,Tue,16:00,17:00,,10,5,2,Sem1 wk9,1,MST_02M.24 Meeting/ Tutorial Room - Doorway 4,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A28A,Physiology 3 - Essay Feedback/08,Tue,16:00,17:00,,10,10,2,Sem1 wk10,1,MST_Teaching Room 01 (G.204) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A28C,Physiology 3 - Essay Feedback/09,Fri,16:00,17:00,,10,11,2,Sem1 wk8,1,MST_Teaching Room 09 (1.416) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A28E,Physiology 3 - Essay Feedback/10,Fri,16:00,17:00,,10,10,2,Sem1 wk9,1,MST_Teaching Room 12 (01M.469) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A290,Physiology 3 - Essay Feedback/11,Mon,11:00,12:00,,10,11,2,Sem1 wk9,1,MST_Teaching Room 14 (01M.474) - Doorway 3,"Medical School, Teviot",*Central
"School of Literatures, Languages and Cultures",,,*Seminar,#SPLUSA8BAC8 003,Medicine in Literature 1: Illness Narratives through History - Seminar/01 <12>,Wed,11:00,13:00,,15,15,4,Sem1 wk4,1,OUT_B1.02,Outreach Centre,*Holyrood
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A294,Physiology 3 - Essay Outline Session/01,Fri,14:00,15:00,,10,10,2,Sem1 wk2,1,MST_Teaching Room 04 (G.202B) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A296,Physiology 3 - Essay Outline Session/02,Fri,14:00,15:00,,10,9,2,Sem1 wk2,1,MST_Teaching Room 05 (G.200) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A29C,Physiology 3 - Essay Outline Session/05,Fri,14:00,15:00,,10,1,2,Sem1 wk2,1,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME09004_SV1_SEM1,Physiology 3,*Tutorial,#SPLUS03A2A0,Physiology 3 - Essay Outline Session/07,Fri,14:00,15:00,,10,5,2,Sem1 wk2,1,50GS_2.13,50 George Square,*George Square/Buccleuch
School of Mathematics,MATH10098_SV1_SEM1,Numerical Linear Algebra,Computer Workshop,#SPLUS5598C5,MATH3 Numerical Linear Algebra - Computer Workshop/15,Wed,9:00,11:00,.,12,12,4,"Sem1 wk1, Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9, Sem1 wk11",6,MH_G.34,Murchison House,*King's Buildings
Deanery of Biomedical Sciences,BIME10059_SS1_SEM1,Primary Care,*Seminar,#SPLUS03A2BB,Primary Care - Seminar,Mon,9:30,13:30,WC,20,16,8,Sem1 wk1-Sem1 wk11,11,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10059_SS1_SEM1,Primary Care,*Lecture,#SPLUS03A2BF,Primary Care - Lecture,Tue,9:30,13:30,WC,20,16,8,Sem1 wk1-Sem1 wk11,11,MST_Teaching Room 08 (1.420) - Doorway 3,"Medical School, Teviot",*Central
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3CC,"Reproductive Cancers - Case Based Learning/A (Seminar Room 1, MEC)",Mon,14:00,15:00,,8,6,2,Sem1 wk2,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3CE,"Reproductive Cancers - Case Based Learning/B (Seminar Room 3, MEC)",Mon,14:00,15:00,,8,6,2,Sem1 wk2,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3D0,"Reproductive Cancers - Case Based Learning/C (Group Study Room, MEC)",Mon,14:00,15:00,,8,6,2,Sem1 wk2,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3D2,Reproductive Cancers - Case Based Learning/D (IGC Lecture Hall),Mon,14:00,15:00,,8,7,2,Sem1 wk2,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3D8,"Reproductive Cancers - Case Based Learning/A (Seminar Room 1, MEC)",Mon,14:00,15:00,,8,6,2,Sem1 wk5,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3DA,"Reproductive Cancers - Case Based Learning/B (Seminar Room 3, MEC)",Mon,14:00,15:00,,8,6,2,Sem1 wk5,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3DC,"Reproductive Cancers - Case Based Learning/C (Group Study Room, MEC)",Mon,14:00,15:00,,8,6,2,Sem1 wk5,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3DE,Reproductive Cancers - Case Based Learning/D (IGC Lecture Hall),Mon,14:00,15:00,,8,7,2,Sem1 wk5,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3E4,"Reproductive Cancers - Case Based Learning/A (Seminar Room 1, MEC)",Tue,14:00,15:00,,8,6,2,Sem1 wk1,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3E6,"Reproductive Cancers - Case Based Learning/B (Seminar Room 3, MEC)",Tue,14:00,15:00,,8,6,2,Sem1 wk1,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3E8,"Reproductive Cancers - Case Based Learning/C (Group Study Room, MEC)",Tue,14:00,15:00,,8,6,2,Sem1 wk1,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3EA,Reproductive Cancers - Case Based Learning/D (IGC Lecture Hall),Tue,14:00,15:00,,8,7,2,Sem1 wk1,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3F0,"Reproductive Cancers - Case Based Learning/A (Seminar Room 1, MEC)",Tue,14:00,15:00,,8,6,2,Sem1 wk4,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3F2,"Reproductive Cancers - Case Based Learning/B (Seminar Room 3, MEC)",Tue,14:00,15:00,,8,6,2,Sem1 wk4,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3F4,"Reproductive Cancers - Case Based Learning/C (Group Study Room, MEC)",Tue,14:00,15:00,,8,6,2,Sem1 wk4,1,0,0,0
Deanery of Biomedical Sciences,BIME10037_SV1_SEM1,Reproductive Cancers,*Tutorial,#SPLUS03A3F6,Reproductive Cancers - Case Based Learning/D (IGC Lecture Hall),Tue,14:00,15:00,,8,7,2,Sem1 wk4,1,0,0,0
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A488,Y1 AB1 - AnP10 Forelimb 4/AB,Mon,10:00,13:00,,60,57,6,Sem1 wk7,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A48A,Y1 AB1 - AnP10 Forelimb 4/CD,Mon,14:00,17:00,,60,58,6,Sem1 wk7,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A48C,Y1 AB1 - AnP11 Forelimb 5/AB,Thu,14:00,16:00,,60,57,4,Sem1 wk7,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A48E,Y1 AB1 - AnP11 Forelimb 5/CD,Thu,11:00,13:00,,60,58,4,Sem1 wk7,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A490,Y1 AB1 - AnP12 Vertebrae/CD,Mon,11:00,13:00,,60,58,4,Sem1 wk9,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A492,Y1 AB1 - AnP12 Vertebrae/AB,Mon,15:00,17:00,,60,57,4,Sem1 wk9,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4B3,Y1 AB1 - AnP14 Neck/AB,Tue,11:00,13:00,,60,57,4,Sem1 wk9,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4B5,Y1 AB1 - AnP14 Neck/CD,Tue,14:00,16:00,,60,58,4,Sem1 wk9,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4B9,Y1 AB1 - AnP15 Pharynx/AB,Mon,10:00,13:00,,60,57,6,Sem1 wk10,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4BB,Y1 AB1 - AnP15 Pharynx/CD,Mon,14:00,17:00,,60,58,6,Sem1 wk10,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4C5,Y1 AB1 - AnP04 Head 1/AB,Mon,10:00,13:00,,60,57,6,Sem1 wk4,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4C7,Y1 AB1 - AnP04 Head 1/CD,Mon,14:00,17:00,,60,58,6,Sem1 wk4,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4CA,Y1 AB1 - AnP05 Head 2/CD,Tue,14:00,17:00,,60,58,6,Sem1 wk4,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4CC,Y1 AB1 - AnP05 Head 2/AB,Thu,14:00,17:00,,60,57,6,Sem1 wk4,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4CE,Y1 AB1 - AnP06 Head 3/AB,Fri,11:00,13:30,,60,57,5,Sem1 wk4,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4D0,Y1 AB1 - AnP06 Head 3/CD,Fri,14:30,17:00,,60,58,5,Sem1 wk4,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4D4,Y1 AB1 - AnP07 Forelimb 1/AB,Thu,14:00,17:00,,60,57,6,Sem1 wk5,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4D6,Y1 AB1 - AnP07 Forelimb 1/CD,Fri,14:00,17:00,,60,58,6,Sem1 wk5,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4DB,Y1 AB1 - AnP08 Forelimb 2/AB,Mon,14:00,17:00,,60,57,6,Sem1 wk6,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4DD,Y1 AB1 - AnP08 Forelimb 2/CD,Tue,14:00,17:00,,60,58,6,Sem1 wk6,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4DF,Y1 AB1 - AnP09 Forelimb 3/AB,Fri,10:00,12:00,,60,57,4,Sem1 wk6,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A4E1,Y1 AB1 - AnP09 Forelimb 3/CD,Fri,15:00,17:00,,60,58,4,Sem1 wk6,1,VS_G.45 - Dissection Room,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A518,Y1 AB1 - HP01 Light Microscopy/AB,Wed,11:00,13:00,,60,57,4,Sem1 wk1,1,VS_G.12 - Teaching Lab 2,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A51A,Y1 AB1 - HP01 Light Microscopy/CD,Fri,11:00,13:00,,60,58,4,Sem1 wk1,1,VS_G.12 - Teaching Lab 2,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A51C,Y1 AB1 - HP02 Histology of Connective Tissue/CD,Tue,14:00,16:00,,60,58,4,Sem1 wk2,1,VS_G.12 - Teaching Lab 2,Vet School,*Easter Bush
Royal (Dick) School of Veterinary Studies,BVMS08038_SS1_YR,The Animal Body (1),*Practical,#SPLUS03A51E,Y1 AB1 - HP02 Histology of Connective Tissue/AB,Fri,11:00,13:00,,60,57,4,Sem1 wk2,1,VS_G.12 - Teaching Lab 2,Vet School,*Easter Bush
